Date,Open,High,Low,Close,Volume,DateGroup,Rate_To_PreviousDay,Bull_Bear
2023/9/12 15:16,136.25,136.25,136.25,136.25,0,202309,-0.014181318,1
2023/9/13 15:16,137.42,137.42,137.42,137.42,0,202309,0.008587156,2
2023/9/14 15:16,144.32,144.32,144.32,144.32,0,202309,0.050211032,3
2023/9/15 15:16,142.92,142.92,142.92,142.92,0,202309,-0.009700665,1
2023/9/18 15:16,137.65,137.65,137.65,137.65,0,202309,-0.036873776,0
2023/9/19 15:16,137.31,137.31,137.31,137.31,0,202309,-0.002470033,1
2023/9/20 15:16,135.74,135.74,135.74,135.74,0,202309,-0.011433982,1
2023/9/21 15:16,135.94,135.94,135.94,135.94,0,202309,0.001473405,2
2023/9/22 15:16,137.74,137.74,137.74,137.74,0,202309,0.013241136,2
2023/9/25 15:16,133.06,133.06,133.06,133.06,0,202309,-0.033977058,0
2023/9/26 15:16,136.3,136.3,136.3,136.3,0,202309,0.024349917,2
2023/9/27 15:16,135.38,135.38,135.38,135.38,0,202309,-0.006749817,1
2023/9/28 15:16,133.48,133.48,133.48,133.48,0,202309,-0.014034569,1
2023/9/29 15:16,134.5,134.5,134.5,134.5,0,202309,0.007641594,2
2023/10/2 15:16,129.17,129.17,129.17,129.17,0,202310,-0.039628253,0
2023/10/3 15:16,129.78,129.78,129.78,129.78,0,202310,0.004722459,2
2023/10/4 15:16,130.68,130.68,130.68,130.68,0,202310,0.006934813,2
2023/10/5 15:16,129.75,129.75,129.75,129.75,0,202310,-0.007116621,1
2023/10/6 15:16,129.36,129.36,129.36,129.36,0,202310,-0.00300578,1
2023/10/9 15:16,133.64,133.64,133.64,133.64,0,202310,0.033085962,3
2023/10/10 15:16,135.17,135.17,135.17,135.17,0,202310,0.011448668,2
2023/10/11 15:16,137.61,137.61,137.61,137.61,0,202310,0.018051343,2
2023/10/12 15:16,136.13,136.13,136.13,136.13,0,202310,-0.010755032,1
2023/10/13 15:16,144.3,144.3,144.3,144.3,0,202310,0.060016161,3
2023/10/16 15:16,137.95,137.95,137.95,137.95,0,202310,-0.044005544,0
2023/10/17 15:16,138.72,138.72,138.72,138.72,0,202310,0.005581733,2
2023/10/18 15:16,137.1,137.1,137.1,137.1,0,202310,-0.011678201,1
2023/10/19 15:16,137.73,137.73,137.73,137.73,0,202310,0.004595186,2
2023/10/20 15:16,136.74,136.74,136.74,136.74,0,202310,-0.007187976,1
2023/10/23 15:16,133.92,133.92,133.92,133.92,0,202310,-0.02062308,1
2023/10/24 15:16,132.44,132.44,132.44,132.44,0,202310,-0.011051374,1
2023/10/25 15:16,132.29,132.29,132.29,132.29,0,202310,-0.001132588,1
2023/10/26 15:16,133.38,133.38,133.38,133.38,0,202310,0.008239474,2
2023/10/27 15:16,132.74,132.74,132.74,132.74,0,202310,-0.004798321,1
2023/10/30 15:16,130.13,130.13,130.13,130.13,0,202310,-0.019662498,1
2023/10/31 15:16,128.21,128.21,128.21,128.21,0,202310,-0.014754476,1
2023/11/1 15:16,129.82,129.82,129.82,129.82,0,202311,0.012557523,2
2023/11/2 15:16,133.8,133.8,133.8,133.8,0,202311,0.030657834,3
2023/11/3 15:16,140.09,140.09,140.09,140.09,0,202311,0.047010463,3
2023/11/6 15:16,137.89,137.89,137.89,137.89,0,202311,-0.01570419,1
2023/11/7 15:16,139.52,139.52,139.52,139.52,0,202311,0.011821017,2
2023/11/8 15:16,139.41,139.41,139.41,139.41,0,202311,-0.000788417,1
2023/11/9 15:16,139.28,139.28,139.28,139.28,0,202311,-0.000932501,1
2023/11/10 15:16,139.81,139.81,139.81,139.81,0,202311,0.003805284,2
2023/11/13 15:16,135.27,135.27,135.27,135.27,0,202311,-0.032472641,0
2023/11/14 15:16,138.38,138.38,138.38,138.38,0,202311,0.022991055,2
2023/11/15 15:16,142.98,142.98,142.98,142.98,0,202311,0.033241798,3
2023/11/16 15:16,154.45,154.45,154.45,154.45,0,202311,0.08022101,3
2023/11/17 15:16,146.88,146.88,146.88,146.88,0,202311,-0.049012625,0
2023/11/20 15:16,143.78,143.78,143.78,143.78,0,202311,-0.021105664,1
2023/11/21 15:16,140.8,140.8,140.8,140.8,0,202311,-0.020726109,1
2023/11/22 15:16,141.55,141.55,141.55,141.55,0,202311,0.005326705,2
2023/11/24 13:00,144.54,144.54,144.54,144.54,0,202311,0.021123278,2
2023/11/27 15:16,142.2,142.2,142.2,142.2,0,202311,-0.01618929,1
2023/11/28 15:16,142.68,142.68,142.68,142.68,0,202311,0.003375527,2
2023/11/29 15:16,139.82,139.82,139.82,139.82,0,202311,-0.020044856,1
2023/11/30 15:16,140.91,144.54,140.91,140.91,0,202311,0.007795737,2
2023/12/1 15:16,138.04,144.54,138.04,138.04,0,202312,-0.020367611,1
2023/12/4 15:16,136.04,144.54,136.04,136.04,0,202312,-0.014488554,1
2023/12/5 15:16,134.76,144.54,134.76,134.76,0,202312,-0.009408997,1
2023/12/6 15:16,132.5,144.54,132.5,132.5,0,202312,-0.016770555,1
2023/12/7 15:16,130.84,130.84,130.84,130.84,0,202312,-0.012528302,1
2023/12/8 15:16,134.1,134.1,134.1,134.1,0,202312,0.024915928,2
2023/12/11 15:16,140.9,140.9,140.9,140.9,0,202312,0.050708427,3
2023/12/12 15:16,148.83,148.83,148.83,148.83,0,202312,0.05628105,3
2023/12/13 15:16,152.02,152.02,152.02,152.02,0,202312,0.021433851,2
2023/12/14 15:16,162.51,162.51,162.51,162.51,0,202312,0.069004078,3
2023/12/15 15:16,153.26,153.26,153.26,153.26,0,202312,-0.056919574,0
2023/12/18 15:16,139.36,139.36,139.36,139.36,0,202312,-0.09069555,0
2023/12/19 15:16,133.18,133.18,133.18,133.18,0,202312,-0.04434558,0
2023/12/20 15:16,136.86,136.86,136.86,136.86,0,202312,0.027631777,3
2023/12/21 15:16,138.18,138.18,138.18,138.18,0,202312,0.009644893,2
2023/12/22 15:16,134.46,134.46,134.46,134.46,0,202312,-0.026921407,0
2023/12/26 15:16,135.69,135.69,135.69,135.69,0,202312,0.009147702,2
2023/12/27 15:16,135.64,135.64,135.64,135.64,0,202312,-0.000368487,1
2023/12/28 15:16,136.9,136.9,136.9,136.9,0,202312,0.009289295,2
2023/12/29 15:16,138.05,138.05,138.05,138.05,0,202312,0.008400292,2
2024/1/2 15:16,134.8,134.8,134.8,134.8,0,202401,-0.023542195,1
2024/1/3 15:16,134.23,134.23,134.23,134.23,0,202401,-0.004228487,1
2024/1/4 15:16,136.6,136.6,136.6,136.6,0,202401,0.017656262,2
2024/1/5 15:16,132.68,132.68,132.68,132.68,0,202401,-0.028696925,0
2024/1/8 15:16,137.05,137.05,137.05,137.05,0,202401,0.032936388,3
2024/1/9 15:16,140.95,140.95,140.95,140.95,0,202401,0.028456768,3
2024/1/10 15:16,137.4,137.4,137.4,137.4,0,202401,-0.025186236,0
2024/1/11 15:16,140.36,140.36,140.36,140.36,0,202401,0.02154294,2
2024/1/12 15:16,143.81,143.81,143.81,143.81,0,202401,0.024579652,2
2024/1/16 15:16,139.94,139.94,139.94,139.94,0,202401,-0.026910507,0
2024/1/17 15:16,147.76,147.76,147.76,147.76,0,202401,0.055881092,3
2024/1/18 15:16,148.15,148.15,148.15,148.15,0,202401,0.002639415,2
2024/1/19 15:16,147.76,147.76,147.76,147.76,0,202401,-0.002632467,1
2024/1/22 15:16,146.01,146.01,146.01,146.01,0,202401,-0.01184353,1
2024/1/23 15:16,148.12,148.12,148.12,148.12,0,202401,0.014451065,2
2024/1/24 15:16,150.25,150.25,150.25,150.25,0,202401,0.014380232,2
2024/1/25 15:16,153.05,153.05,153.05,153.05,0,202401,0.018635607,2
2024/1/26 15:16,151.36,151.36,151.36,151.36,0,202401,-0.011042143,1
