Date,DateGroup,Open,High,Low,Close,Adj Close,Volume,CloseRate_to_PreviousDay,Bull_Bear
2024/3/14,202403,89.577003,90.646004,86.599998,87.944,87.936775,602318000,0.0012 ,3
2024/3/15,202403,86.93,89.545998,86.257004,87.836998,87.829781,642086000,-0.0070 ,1
2024/3/18,202403,90.388,92.404999,87.084999,88.455002,88.447739,668976000,-0.0105 ,0
2024/3/19,202403,86.699997,90.543999,85.010002,89.398003,89.390663,672171000,-0.0108 ,0
2024/3/20,202403,89.796997,90.410004,88.223,90.372002,90.364578,479063000,-0.0116 ,0
2024/3/21,202403,92.300003,92.648003,90.404999,91.434998,91.42749,480372000,-0.0303 ,0
2024/3/22,202403,91.140999,94.778,90.834,94.289001,94.281258,586719000,-0.0075 ,1
2024/3/25,202403,93.941002,96.765999,93.510002,95.001999,94.994194,552136000,0.0264 ,4
2024/3/26,202403,95.850998,96.375,92.501999,92.560997,92.553398,513648000,0.0256 ,4
2024/3/27,202403,93.112,93.239998,89.123001,90.25,90.242584,586067000,-0.0012 ,1
2024/3/28,202403,90,91.300003,89.193001,90.356003,90.348579,435212000,-0.0001 ,1
2024/4/1,202404,90.299004,92.224998,89.204002,90.362999,90.355576,452441000,0.0102 ,4
2024/4/2,202404,88.447998,90.094002,87.620003,89.452003,89.444656,433064000,0.0055 ,3
2024/4/3,202404,88.484001,90.374001,88.400002,88.963997,88.956688,370067000,0.0356 ,4
2024/4/4,202404,90.405998,90.634003,85.879997,85.904999,85.897942,434965000,-0.0239 ,0
2024/4/5,202404,86.865997,88.481003,85.926003,88.008003,88.000778,399678000,0.0100 ,4
2024/4/8,202404,88.699997,88.830002,86.732002,87.133003,87.125847,283220000,0.0208 ,4
2024/4/9,202404,87.442001,87.635002,83.022003,85.353996,85.346985,503547000,-0.0194 ,0
2024/4/10,202404,83.926003,87.400002,83.709,87.039001,87.031853,431929000,-0.0395 ,0
2024/4/11,202404,87.419998,90.738998,86.926003,90.615997,90.608551,431637000,0.0276 ,4
2024/4/12,202404,89.698997,90.175003,87.529999,88.185997,88.178757,426805000,0.0254 ,4
2024/4/15,202404,89.098,90.612999,85.929001,86.000999,85.993935,443077000,-0.0162 ,0
2024/4/16,202404,86.432999,88.117996,86.064003,87.415001,87.407822,370453000,0.0402 ,4
2024/4/17,202404,88.339996,88.775002,83.949997,84.035004,84.028099,495400000,-0.0075 ,1
2024/4/18,202404,84.970001,86.190002,82.402,84.670998,84.66404,447260000,0.1112 ,4
2024/4/19,202404,83.150002,84.323997,75.606003,76.199997,76.193741,875198000,-0.0417 ,0
2024/4/22,202404,78.103996,80.072998,76.400002,79.517998,79.511467,596341000,-0.0352 ,0
2024/4/23,202404,80.768997,82.768997,80.264,82.422997,82.416229,438559000,0.0345 ,4
2024/4/24,202404,83.949997,84.082001,79.182999,79.677002,79.670456,512208000,-0.0358 ,0
2024/4/25,202404,78.867996,83.322998,78.223,82.632004,82.625214,424641000,-0.0582 ,0
2024/4/26,202404,83.818001,88.331001,83.387001,87.735001,87.727791,551011000,-0.0003 ,1
2024/4/29,202404,87.595001,87.991997,85.265999,87.757004,87.749794,388971000,0.0157 ,4
2024/4/30,202404,87.239998,88.819,86.300003,86.402,86.394905,363709000,0.0405 ,4
2024/5/1,202405,85.077003,86,81.254997,83.041,83.03418,559863000,-0.0323 ,0
